YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M
2021,2,18,96.51,1.89,2.93,1.13,1.8,60.75,2.49,3.72,1.64,2.08,62.0,1.1,4.11,1.08
2021,2,19,96.12,3.11,4.17,1.25,2.92,317.88,5.08,7.1,1.6,5.5,316.38,2.23,4.48,1.55
2021,2,20,96.67,4.62,6.12,2.38,3.75,310.94,7.24,8.48,4.17,4.31,310.5,3.81,4.92,2.31
2021,2,21,97.28,2.35,3.24,0.86,2.38,219.69,3.88,5.73,0.91,4.82,221.94,4.34,4.92,1.15
2021,2,22,95.75,3.76,6.65,2.62,4.03,224.94,6.35,9.79,4.77,5.02,226.81,1.58,4.57,1.69
2021,2,23,95.34,4.27,7.84,2.65,5.2,268.56,7.68,12.02,4.82,7.2,270.0,4.31,4.82,1.84
2021,2,24,95.81,3.52,5.45,2.05,3.4,240.81,6.33,9.09,3.72,5.37,242.19,4.84,4.91,1.5
2021,2,25,96.37,2.75,4.23,1.14,3.09,337.0,4.88,8.78,1.84,6.95,333.94,4.53,5.03,1.2
2021,2,26,96.93,2.52,3.66,1.55,2.1,141.88,4.34,5.47,3.13,2.34,142.5,3.01,4.78,1.12
2021,2,27,96.32,2.6,4.83,0.82,4.0,233.31,4.06,6.57,1.27,5.3,234.19,3.24,4.63,1.26
2021,2,28,96.05,2.36,4.12,0.84,3.28,174.62,4.11,6.28,1.33,4.96,178.25,0.75,4.52,1.03
2021,3,1,95.48,4.37,6.65,2.36,4.29,294.5,7.83,10.32,4.65,5.67,294.75,1.76,4.94,1.91
2021,3,2,96.45,2.7,4.34,0.34,4.0,275.88,4.55,8.59,0.71,7.88,275.69,5.47,5.53,1.27
2021,3,3,95.75,2.61,3.7,1.54,2.16,284.62,4.77,6.81,2.24,4.56,284.69,5.01,5.33,1.04
2021,3,4,95.71,4.48,6.4,2.73,3.66,315.44,7.3,8.93,4.7,4.23,315.25,4.94,5.27,2.1
2021,3,5,96.07,4.63,6.3,3.56,2.73,318.06,7.54,8.77,6.65,2.12,318.31,5.75,5.72,2.23
2021,3,6,96.31,3.55,4.72,2.3,2.42,314.19,6.26,7.29,4.93,2.36,314.31,5.69,5.71,1.59
2021,3,7,96.84,2.04,2.52,1.26,1.25,330.62,3.32,4.59,1.78,2.8,328.62,5.77,5.77,0.95
2021,3,8,97.24,2.17,3.25,0.9,2.34,284.5,3.52,5.34,1.57,3.77,284.62,5.52,5.56,1.02
2021,3,9,97.17,2.77,3.44,1.91,1.52,278.94,4.72,6.8,2.86,3.95,279.75,4.23,5.19,1.23
2021,3,10,97.08,2.35,3.92,0.2,3.73,186.44,4.26,7.85,0.24,7.61,193.44,5.51,5.57,1.14
2021,3,11,96.68,3.45,5.5,2.27,3.23,226.62,6.5,7.91,3.12,4.8,228.69,5.38,5.51,1.48
2021,3,12,96.58,3.12,4.13,1.98,2.15,285.06,5.82,7.62,3.55,4.07,285.5,2.56,5.37,1.33
2021,3,13,96.73,2.48,3.59,1.05,2.55,322.25,4.65,7.82,1.66,6.16,319.94,4.78,5.99,1.06
2021,3,14,96.36,4.45,6.72,3.01,3.72,314.94,7.58,10.04,4.14,5.89,315.44,5.43,5.97,2.04
2021,3,15,96.8,2.63,4.2,1.87,2.33,164.38,4.2,7.36,1.88,5.49,164.38,5.05,6.17,1.28
2021,3,16,96.13,3.13,4.73,1.34,3.39,171.94,4.27,5.88,1.91,3.96,175.31,2.93,5.65,1.63
2021,3,17,96.08,1.66,3.22,0.45,2.76,126.88,2.29,4.66,0.39,4.27,124.25,2.96,5.74,0.91
2021,3,18,95.15,3.65,6.52,1.25,5.27,153.81,5.53,8.87,2.14,6.73,156.0,1.4,5.45,1.79
2021,3,19,96.39,5.41,7.49,2.68,4.81,21.81,8.28,9.98,6.08,3.9,22.75,6.33,6.33,2.68
2021,3,20,97.51,2.39,3.05,1.37,1.68,65.12,3.85,5.88,1.95,3.94,65.75,6.44,6.39,1.13
2021,3,21,97.39,2.01,2.72,0.88,1.83,102.88,3.06,5.38,1.29,4.09,104.12,6.41,6.39,1.0
2021,3,22,96.88,1.9,2.64,0.18,2.46,107.56,2.84,5.19,0.24,4.95,108.75,6.13,6.39,0.93
2021,3,23,96.49,2.2,3.23,1.39,1.84,99.56,3.7,5.39,1.99,3.4,100.31,2.56,5.93,1.02
2021,3,24,95.98,1.31,2.36,0.13,2.23,176.62,2.7,5.12,0.31,4.8,178.88,2.11,5.82,0.48
2021,3,25,95.96,2.7,5.78,0.36,5.43,206.44,4.63,9.39,0.39,9.01,207.44,2.72,5.81,1.14
2021,3,26,95.63,5.48,7.87,2.34,5.53,261.88,8.93,12.23,5.02,7.2,262.5,6.29,6.34,2.55
2021,3,27,96.27,2.46,4.28,0.84,3.44,222.25,4.22,5.93,1.04,4.89,222.94,4.34,6.16,1.09
2021,3,28,95.21,5.59,8.97,2.27,6.7,235.81,8.88,13.41,4.7,8.7,237.38,2.1,5.78,2.61
2021,3,29,96.38,3.45,6.58,0.52,6.06,259.94,5.4,10.7,0.72,9.99,258.75,6.3,6.79,1.65
2021,3,30,96.65,3.61,5.57,2.25,3.32,191.31,6.0,8.06,3.64,4.43,192.94,6.49,6.72,1.61
2021,3,31,95.87,3.19,6.45,0.48,5.96,236.75,5.29,9.53,1.02,8.52,238.5,1.56,6.08,1.4
2021,4,1,96.01,5.56,6.62,3.31,3.3,318.81,8.11,9.23,5.66,3.57,319.31,4.58,6.8,2.71
2021,4,2,96.8,4.96,6.87,2.37,4.5,324.81,7.8,9.42,4.99,4.43,325.44,6.78,7.21,2.31
2021,4,3,96.96,1.91,2.48,1.18,1.3,282.25,3.33,4.85,1.99,2.86,283.56,6.72,6.9,0.81
2021,4,4,96.32,3.86,5.3,2.66,2.64,299.75,6.89,7.8,5.1,2.7,300.31,6.79,6.8,1.6
2021,4,5,96.18,2.07,2.82,1.34,1.49,275.31,3.52,6.18,1.92,4.25,274.62,6.32,6.7,0.91
2021,4,6,95.91,2.38,3.3,1.54,1.76,317.31,4.02,5.75,2.19,3.55,316.06,5.78,6.63,1.02
2021,4,7,95.83,2.54,3.52,1.16,2.35,242.81,4.45,6.89,1.92,4.97,242.81,5.39,6.45,1.07
2021,4,8,95.87,3.34,5.24,1.54,3.7,125.62,5.2,7.29,2.89,4.4,128.0,5.91,6.26,1.53
2021,4,9,95.97,2.12,3.06,1.29,1.77,131.75,3.45,4.73,2.34,2.38,135.81,2.94,6.48,0.99
2021,4,10,95.48,2.95,4.84,1.05,3.78,157.31,4.64,8.11,1.88,6.23,160.38,3.96,6.61,1.34
2021,4,11,94.39,3.34,5.08,2.06,3.01,240.5,5.73,8.41,3.96,4.45,242.38,6.33,7.0,1.53
2021,4,12,95.0,2.32,3.37,1.17,2.2,297.19,3.99,4.81,2.03,2.78,296.19,3.3,6.91,1.02
2021,4,13,96.02,2.13,3.42,1.12,2.3,241.06,3.4,4.71,1.72,2.98,268.12,6.05,7.04,0.96
2021,4,14,95.92,1.34,2.55,0.26,2.29,167.94,2.14,3.22,0.29,2.93,197.0,1.92,6.41,0.66
2021,4,15,95.23,3.61,5.71,1.41,4.3,298.75,6.05,8.25,3.23,5.02,298.44,4.4,7.35,1.59
2021,4,16,95.25,3.68,5.32,2.42,2.9,302.25,6.44,7.55,5.21,2.35,302.38,6.05,7.32,1.53
