YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M
2021,2,18,101.72,4.24,5.43,2.44,2.99,50.44,5.61,7.01,3.8,3.2,51.62,0.87,4.08,3.05
2021,2,19,101.17,4.49,5.92,3.43,2.49,224.69,6.66,9.52,4.99,4.52,210.31,1.89,4.33,3.09
2021,2,20,101.73,6.8,8.91,4.99,3.92,299.31,9.52,11.34,7.49,3.84,300.25,4.2,4.65,4.71
2021,2,21,102.53,3.52,5.77,0.13,5.65,237.06,5.18,8.84,0.17,8.67,253.81,4.71,4.82,2.35
2021,2,22,100.85,5.27,7.88,3.75,4.14,209.69,8.09,10.48,6.48,3.99,210.94,1.28,4.5,3.6
2021,2,23,100.17,5.2,9.02,3.6,5.41,260.5,9.18,13.82,7.1,6.73,260.94,4.42,4.75,3.3
2021,2,24,100.71,4.88,7.32,2.38,4.94,225.62,8.08,12.92,3.8,9.12,226.25,4.77,4.84,3.05
2021,2,25,101.32,4.77,8.21,1.92,6.3,330.06,6.83,12.34,2.77,9.57,330.25,4.48,4.98,3.23
2021,2,26,102.08,3.51,4.94,2.27,2.67,148.38,5.52,7.3,3.86,3.45,148.81,3.14,4.56,2.3
2021,2,27,101.32,3.23,5.66,1.03,4.62,212.25,4.74,7.33,1.83,5.5,213.19,2.38,4.57,2.09
2021,2,28,101.13,3.53,6.38,2.09,4.29,108.44,5.36,8.27,3.72,4.55,109.5,0.68,4.44,2.27
2021,3,1,100.24,5.77,9.54,0.53,9.02,276.56,8.44,12.77,0.9,11.87,276.94,1.09,4.76,3.95
2021,3,2,101.56,5.09,7.57,0.98,6.59,285.5,7.13,11.18,1.3,9.87,285.5,5.45,5.5,3.57
2021,3,3,100.65,3.61,4.61,2.78,1.83,257.62,5.9,8.98,3.48,5.5,258.62,5.38,5.33,2.3
2021,3,4,100.55,6.57,8.62,4.29,4.32,319.31,9.51,11.73,7.04,4.7,319.81,4.98,5.13,4.57
2021,3,5,101.02,6.77,9.16,4.18,4.98,310.25,9.59,11.6,7.73,3.87,311.19,5.72,5.68,4.77
